copy_id,driver1_coef,driver2_coef,driver3_coef,driver4_coef,driver5_coef,driver6_coef,driver7_coef,driver8_coef,driver9_coef,driver10_coef,driver11_coef,driver12_coef,driver13_coef,driver14_coef,driver15_coef,driver16_coef,driver17_coef,driver18_coef,driver19_coef,driver20_coef,driver21_coef,driver22_coef,driver23_coef,driver24_coef,driver1_lap_10,driver2_lap_10,driver3_lap_10,driver4_lap_10,driver5_lap_10,driver6_lap_10,driver7_lap_10,driver8_lap_10,driver9_lap_10,driver10_lap_10,driver11_lap_10,driver12_lap_10,driver13_lap_10,driver14_lap_10,driver15_lap_10,driver16_lap_10,driver17_lap_10,driver18_lap_10,driver19_lap_10,driver20_lap_10,driver21_lap_10,driver22_lap_10,driver23_lap_10,driver24_lap_10
1013_0,11.77524563433362,11.232359720709557,5.949614274396139,14.054949701312236,16.787339436795857,8.796104599193974,11.285785297654304,11.730605777899466,10.102772301199115,10.748454266369578,8.795379550385844,8.990510738773082,16.787339436795857,6.919267466526158,6.655736056444178,4.092726599204289,10.548045463965767,16.787339436795857,16.787339436795857,13.030428965422828,7.391607172517768,8.374030007845443,4.443479686368393,10.579726257276144,11,13,3,20,25,14,16,10,15,9,7,12,25,18,4,2,8,25,25,17,1,6,5,19
1013_1,16.787339436795857,4.092726599204289,16.787339436795857,8.795379550385844,14.054949701312236,6.655736056444178,5.949614274396139,8.374030007845443,13.030428965422828,11.730605777899466,11.285785297654304,10.579726257276144,8.796104599193974,6.919267466526158,10.102772301199115,8.990510738773082,16.787339436795857,10.748454266369578,11.232359720709557,4.443479686368393,16.787339436795857,11.77524563433362,10.548045463965767,7.391607172517768,25,2,25,7,20,4,3,6,17,10,16,19,14,18,15,12,25,9,13,5,25,11,8,1
1013_2,16.787339436795857,8.374030007845443,8.796104599193974,10.548045463965767,14.054949701312236,6.655736056444178,6.919267466526158,10.102772301199115,16.787339436795857,11.77524563433362,11.730605777899466,16.787339436795857,8.795379550385844,8.990510738773082,10.579726257276144,11.232359720709557,13.030428965422828,4.443479686368393,16.787339436795857,10.748454266369578,4.092726599204289,7.391607172517768,5.949614274396139,11.285785297654304,25,6,14,8,20,4,18,15,25,11,10,25,7,12,19,13,17,5,25,9,2,1,3,16
1014_0,11.77524563433362,11.232359720709557,5.949614274396139,14.054949701312236,16.787339436795857,8.796104599193974,11.285785297654304,11.730605777899466,10.102772301199115,10.748454266369578,8.795379550385844,8.990510738773082,16.787339436795857,6.919267466526158,6.655736056444178,4.092726599204289,10.548045463965767,16.787339436795857,16.787339436795857,13.030428965422828,7.391607172517768,8.374030007845443,4.443479686368393,10.579726257276144,14,19,4,20,25,16,9,7,18,10,13,12,25,17,5,1,6,25,25,8,2,11,3,15
1014_1,16.787339436795857,4.092726599204289,16.787339436795857,8.795379550385844,14.054949701312236,6.655736056444178,5.949614274396139,8.374030007845443,13.030428965422828,11.730605777899466,11.285785297654304,10.579726257276144,8.796104599193974,6.919267466526158,10.102772301199115,8.990510738773082,16.787339436795857,10.748454266369578,11.232359720709557,4.443479686368393,16.787339436795857,11.77524563433362,10.548045463965767,7.391607172517768,25,1,25,13,20,5,4,11,8,7,9,15,16,17,18,12,25,10,19,3,25,14,6,2
1014_2,16.787339436795857,8.374030007845443,8.796104599193974,10.548045463965767,14.054949701312236,6.655736056444178,6.919267466526158,10.102772301199115,16.787339436795857,11.77524563433362,11.730605777899466,16.787339436795857,8.795379550385844,8.990510738773082,10.579726257276144,11.232359720709557,13.030428965422828,4.443479686368393,16.787339436795857,10.748454266369578,4.092726599204289,7.391607172517768,5.949614274396139,11.285785297654304,25,11,16,6,20,5,17,18,25,14,7,25,13,12,15,19,8,3,25,10,1,2,4,9
1015_0,11.77524563433362,11.232359720709557,5.949614274396139,14.054949701312236,16.787339436795857,8.796104599193974,11.285785297654304,11.730605777899466,10.102772301199115,10.748454266369578,8.795379550385844,8.990510738773082,16.787339436795857,6.919267466526158,6.655736056444178,4.092726599204289,10.548045463965767,16.787339436795857,16.787339436795857,13.030428965422828,7.391607172517768,8.374030007845443,4.443479686368393,10.579726257276144,13,19,4,17,25,12,9,11,16,10,14,5,25,15,20,1,7,25,25,6,2,8,3,18
1015_2,16.787339436795857,8.374030007845443,8.796104599193974,10.548045463965767,14.054949701312236,6.655736056444178,6.919267466526158,10.102772301199115,16.787339436795857,11.77524563433362,11.730605777899466,16.787339436795857,8.795379550385844,8.990510738773082,10.579726257276144,11.232359720709557,13.030428965422828,4.443479686368393,16.787339436795857,10.748454266369578,4.092726599204289,7.391607172517768,5.949614274396139,11.285785297654304,25,8,12,7,17,20,15,16,25,13,11,25,14,5,18,19,6,3,25,10,1,2,4,9
1016_0,11.77524563433362,10.748454266369578,5.949614274396139,14.054949701312236,16.859825100486137,11.232359720709557,11.285785297654304,11.730605777899466,10.102772301199115,16.859825100486137,8.795379550385844,8.990510738773082,16.859825100486137,6.919267466526158,6.655736056444178,4.092726599204289,10.548045463965767,16.859825100486137,16.859825100486137,13.030428965422828,7.391607172517768,8.374030007845443,4.443479686368393,10.579726257276144,8,18,1,11,25,17,7,13,19,25,9,10,25,16,3,2,12,25,25,15,5,14,6,4
1016_1,16.859825100486137,4.092726599204289,16.859825100486137,8.795379550385844,14.054949701312236,6.655736056444178,5.949614274396139,8.374030007845443,13.030428965422828,11.730605777899466,11.285785297654304,10.579726257276144,11.232359720709557,6.919267466526158,10.102772301199115,8.990510738773082,16.859825100486137,16.859825100486137,10.748454266369578,4.443479686368393,16.859825100486137,11.77524563433362,10.548045463965767,7.391607172517768,25,2,25,9,11,3,1,14,15,13,7,4,17,16,19,10,25,25,18,6,25,8,12,5
1016_2,16.859825100486137,8.374030007845443,11.232359720709557,10.548045463965767,14.054949701312236,6.655736056444178,6.919267466526158,10.102772301199115,16.859825100486137,11.77524563433362,11.730605777899466,16.859825100486137,8.795379550385844,8.990510738773082,10.579726257276144,10.748454266369578,13.030428965422828,4.443479686368393,16.859825100486137,16.859825100486137,4.092726599204289,7.391607172517768,5.949614274396139,11.285785297654304,25,14,17,12,11,3,16,19,25,8,13,25,9,10,4,18,15,6,25,25,2,5,1,7
1017_0,11.77524563433362,11.232359720709557,5.949614274396139,14.054949701312236,16.787339436795857,8.796104599193974,11.285785297654304,11.730605777899466,10.102772301199115,10.748454266369578,8.795379550385844,8.990510738773082,16.787339436795857,6.919267466526158,6.655736056444178,4.092726599204289,10.548045463965767,16.787339436795857,16.787339436795857,13.030428965422828,7.391607172517768,8.374030007845443,4.443479686368393,10.579726257276144,14,19,5,20,25,7,16,17,18,15,12,9,25,10,3,1,8,25,25,13,2,6,4,11
1017_1,16.787339436795857,4.092726599204289,16.787339436795857,8.795379550385844,14.054949701312236,6.655736056444178,5.949614274396139,8.374030007845443,13.030428965422828,11.730605777899466,11.285785297654304,10.579726257276144,8.796104599193974,6.919267466526158,10.102772301199115,8.990510738773082,16.787339436795857,10.748454266369578,11.232359720709557,4.443479686368393,16.787339436795857,11.77524563433362,10.548045463965767,7.391607172517768,25,1,25,12,20,3,5,6,13,17,16,11,7,10,18,9,25,15,19,4,25,14,8,2
